x,y,token
-6.3827076,-86.5013,paweł
29.852686,-32.365322,studia
68.15074,12.670847,przedstawiać
14.901795,-21.575764,spółka
94.3289,17.680187,udawać
32.611416,-34.476093,historyczny
86.24362,30.712454,pytać
66.16702,-40.343468,trud
-21.896265,33.903484,ul
87.98964,33.316547,powtórzyć
65.772766,70.48106,unieść
21.862396,11.284918,przestać
-22.58035,-58.332935,warszawski
-10.560987,-48.6815,żyd
-24.44944,55.562317,korytarz
67.082634,25.503407,zmieniać
81.98229,-15.964148,wymagać
43.861313,-36.614346,zakres
50.79605,-30.975525,miara
44.678364,-0.46113208,zwany
